Vivado Simulator 2017.1
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 2235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 2245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 9195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 16145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 30045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 36995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 43935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 43945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 50885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 50895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 57835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 57845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 64785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 64795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 71735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 71745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 78685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 78695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 85635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 85645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 92585000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 92595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 99535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 99545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 106485000, A write address: 0, B  read address: 0
